得意先所属コード,得意先ユーザーコード,得意先親子区分,取引年月日,車番,給油所区分,高速区分,給油先会社コード,給油先SSコード,給油所名,商品コード,商品名,数量,単価,商品代,参考消費税,軽油税,伝票番号,行番号
104,23991,0,20250509,2711,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,317,91.3,28942,2894,10176,6352,2
104,23991,0,20250503,3215,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,146,91.3,13330,1333,4687,4831,1
104,23991,0,20250505,3215,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,126,91.3,11504,1150,4045,5227,7
104,23991,0,20250510,3215,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,72,91.3,6574,657,2311,6587,7
104,23991,0,20250514,3215,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,79,91.3,7213,721,2536,7780,0
104,23991,0,20250517,3215,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,134.01,91.3,12235,1224,4302,8689,9
104,23991,0,20250519,3215,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,145,91.3,13239,1324,4655,9208,8
104,23991,0,20250524,3215,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,134,91.3,12234,1223,4301,811,1
104,23991,0,20250531,3215,2,,77,720,佐野インター店　　　　,13840,軽油（エネフリ）,149,91.3,13604,1360,4783,2928,8
104,23991,0,20250502,3577,2,1,77,709,太田強戸ＰＡ東行き店　,13848,軽油（エネフリ高速）,315,91.3,28760,2876,10112,803,3
104,23991,0,20250505,3577,2,1,77,708,太田強戸ＰＡ西行き店　,13848,軽油（エネフリ高速）,234,91.3,21364,2136,7511,1071,1
104,23991,0,20250518,3577,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,133,90.3,12010,1201,4269,3033,3
104,23991,0,20250505,3883,2,1,77,708,太田強戸ＰＡ西行き店　,13848,軽油（エネフリ高速）,69,91.3,6300,630,2215,1203,3
104,23991,0,20250517,3955,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,102.28,90.3,9236,924,3283,2231,1
104,23991,0,20250513,5015,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,270,90.3,24381,2438,8667,3244,4
104,23991,0,20250519,5015,3,,50,220,上武道路深谷ＳＳ　　　,13825,軽油セルフ（太陽）,345,90.3,31154,3115,11075,5066,6
104,23991,0,20250502,5123,1,,10,199,土浦給油所　　　　　　,13310,軽油（大型セルフ）,144.01,90.3,13004,1300,4623,2987,7
104,23991,0,20250505,5123,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,90,90.3,8127,813,2889,592,2
104,23991,0,20250525,5123,1,,10,215,伊勢崎インターＳＳ　　,13310,軽油（大型セルフ）,91.43,90.3,8256,826,2935,1591,1
