得意先コード,支店コード,カード車番,日付,再発行番号,給油所コード,給油所名,商品コード,商品名,税区分,数量,単価,金額,伝票番号,伝票番号枝番,給油担当者,入力車番,給油時間,支店コード,お客様コード,レシートＳＳコード,請求書表示給油所名,給油所名（ｶﾅ）,レシート商品コード,Ｌ２コード,Ｌ３コード,税抜き単価,税抜き金額,軽油引取税,消費税,消費税率,会員情報,給油形態区分,得意先名称,Ｌ２名称,Ｌ３名称,カード区分,種別,請求書出力用備考,予備
1101041484,0,3017,20250505,2,18511,軽井沢,4410,軽　油　　　　　　　,3,78,122.9,9586,6059,1,0,3017,1728,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,7082,2504,708,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250505,2,18511,軽井沢,4410,軽　油　　　　　　　,3,140,122.9,17206,6059,1,0,3017,1728,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,12712,4494,1271,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250506,2,11659,加　須,4410,軽　油　　　　　　　,3,115,122.9,14134,18498,1,7692,3017,2155,0,35068501484,349288,加　須　　,ｶｿﾞCS               ,3100000,0,0,90.8,10442,3692,1044,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250508,2,18511,軽井沢,4410,軽　油　　　　　　　,3,73,122.9,8972,6513,1,0,3017,1711,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,6629,2343,663,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250508,2,18511,軽井沢,4410,軽　油　　　　　　　,3,130,122.9,15977,6513,1,0,3017,1711,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,11804,4173,1180,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250509,2,11659,加　須,4410,軽　油　　　　　　　,3,109,122.9,13396,19626,1,7692,3017,2210,0,35068501484,349288,加　須　　,ｶｿﾞCS               ,3100000,0,0,90.8,9897,3499,990,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250511,2,11659,加　須,4410,軽　油　　　　　　　,3,192,122.9,23597,10585,1,7295,3017,2158,0,35068501484,349288,加　須　　,ｶｿﾞCS               ,3100000,0,0,90.8,17434,6163,1743,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250512,2,18511,軽井沢,4410,軽　油　　　　　　　,3,80,122.9,9832,7043,1,0,3017,1724,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,7264,2568,726,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250512,2,18511,軽井沢,4410,軽　油　　　　　　　,3,147,122.9,18066,7043,1,0,3017,1724,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,13347,4719,1335,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250513,2,11659,加　須,4410,軽　油　　　　　　　,3,104,122.9,12782,11341,1,7295,3017,2158,0,35068501484,349288,加　須　　,ｶｿﾞCS               ,3100000,0,0,90.8,9444,3338,944,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250515,2,18511,軽井沢,4410,軽　油　　　　　　　,3,72,122.9,8849,7465,1,0,3017,1729,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,6538,2311,654,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250515,2,18511,軽井沢,4410,軽　油　　　　　　　,3,140.01,122.9,17207,7465,1,0,3017,1729,0,35068501484,18511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,3100000,0,0,90.8,12713,4494,1271,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250516,2,11659,加　須,4410,軽　油　　　　　　　,3,107,122.9,13150,12605,1,7692,3017,2224,0,35068501484,349288,加　須　　,ｶｿﾞCS               ,3100000,0,0,90.8,9715,3435,972,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,0,3017,20250518,2,11659,加　須,4410,軽　油　　　　　　　,3,212,122.9,26055,13569,1,7692,3017,2159,0,35068501484,349288,加　須　　,ｶｿﾞCS               ,3100000,0,0,90.8,19250,6805,1925,10,91010414842301702   ,0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
