得意先コード,支店コード,カード車番,日付,再発行番号,給油所コード,給油所名,商品コード,商品名,税区分,数量,単価,金額,伝票番号,伝票番号枝番,給油担当者,入力車番,給油時間,支店コード,お客様コード,レシートＳＳコード,請求書表示給油所名,給油所名（ｶﾅ）,レシート商品コード,Ｌ２コード,Ｌ３コード,税抜き単価,税抜き金額,軽油引取税,消費税,消費税率,会員情報,給油形態区分,得意先名称,Ｌ２名称,Ｌ３名称,カード区分,種別,請求書出力用備考,予備
1101041484,000,3017,20250505,02,18511,軽井沢,4410,軽　油　　　　　　　,3,      78.00,     122.90,      9586.00,06059,01,00000,3017,1728,000,35068501484,018511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,003100000,00000,00000,      90.80,         7082,         2504,          708,10,="91010414842301702   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,3017,20250505,02,18511,軽井沢,4410,軽　油　　　　　　　,3,     140.00,     122.90,     17206.00,06059,01,00000,3017,1728,000,35068501484,018511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,003100000,00000,00000,      90.80,        12712,         4494,         1271,10,="91010414842301702   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,3017,20250506,02,11659,加　須,4410,軽　油　　　　　　　,3,     115.00,     122.90,     14134.00,18498,01,07692,3017,2155,000,35068501484,349288,加　須　　,ｶｿﾞCS               ,003100000,00000,00000,      90.80,        10442,         3692,         1044,10,="91010414842301702   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,3017,20250508,02,18511,軽井沢,4410,軽　油　　　　　　　,3,      73.00,     122.90,      8972.00,06513,01,00000,3017,1711,000,35068501484,018511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,003100000,00000,00000,      90.80,         6629,         2343,          663,10,="91010414842301702   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,3017,20250508,02,18511,軽井沢,4410,軽　油　　　　　　　,3,     130.00,     122.90,     15977.00,06513,01,00000,3017,1711,000,35068501484,018511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,003100000,00000,00000,      90.80,        11804,         4173,         1180,10,="91010414842301702   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,3017,20250509,02,11659,加　須,4410,軽　油　　　　　　　,3,     109.00,     122.90,     13396.00,19626,01,07692,3017,2210,000,35068501484,349288,加　須　　,ｶｿﾞCS               ,003100000,00000,00000,      90.80,         9897,         3499,          990,10,="91010414842301702   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,3017,20250511,02,11659,加　須,4410,軽　油　　　　　　　,3,     192.00,     122.90,     23597.00,10585,01,07295,3017,2158,000,35068501484,349288,加　須　　,ｶｿﾞCS               ,003100000,00000,00000,      90.80,        17434,         6163,         1743,10,="91010414842301702   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,3017,20250512,02,18511,軽井沢,4410,軽　油　　　　　　　,3,      80.00,     122.90,      9832.00,07043,01,00000,3017,1724,000,35068501484,018511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,003100000,00000,00000,      90.80,         7264,         2568,          726,10,="91010414842301702   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,3017,20250512,02,18511,軽井沢,4410,軽　油　　　　　　　,3,     147.00,     122.90,     18066.00,07043,01,00000,3017,1724,000,35068501484,018511,軽井沢　　,ｶﾙｲｻﾞﾜ              ,003100000,00000,00000,      90.80,        13347,         4719,         1335,10,="91010414842301702   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
1101041484,000,3017,20250513,02,11659,加　須,4410,軽　油　　　　　　　,3,     104.00,     122.90,     12782.00,11341,01,07295,3017,2158,000,35068501484,349288,加　須　　,ｶｿﾞCS               ,003100000,00000,00000,      90.80,         9444,         3338,          944,10,="91010414842301702   ",0,㈱関東隆商運輸　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,54,0,　　　　　　　　　　　　　　　　　　　　,                                        
